,collective_exh,name,personal_exh,style
0,"['\n                                    2017', ' «...ура! Скульптура!»\xa0 Центральный выставочный зал «Манеж», Санкт-Петербург, Россия', ' 2015\xa0', ' «...ура! Скульптура!» ЦСИ Винзавод, Цех Белого, Москва, Россия', ' 2013', ' «Обратная сторона вещей», арт-площадка «Периметр», Москва, Россия', ' «Изучение изысканий», Московский музей современного искусства, Москва, Россия', ' 2011', ' «Luck is an attitude», Martini Art Club, галерея «Победа», Москва, Россия', ' Martini Art Weekend, «Красный Октябрь», Москва, Россия\n ']",Crocodile POWER,"['\n', ' 2017 ', ' «ThisGameHasNoName» Галерея «Триумф», Москва, Россия', ' «Life in a lonely wood» Mobius gallery, Bucharest ', ' «Insomnia» VLADEY Space. Москва, Россия ', ' 2016', ' «Границы памяти» Budapest Art Factory. Будапешт, Венгрия', ' 2015', ' «Вне зоны действия» Московский музей современного искусства, Москва, Россия ', ' 2014 ', ' «Русский космос», \xa0Галерея «Триумф», Москва, Россия ', ' 2013', ' «Внутренняя тайга», галерея «Триумф», Москва, Россия \n\n\n ']","Живопись, скульптура"
1,"['\n                                    \t 2018', '', '\t Faces and Laces “Субкультурная кооперация”, Парк Горького, г.Москва;', '', '\t “Победа над белым” Открытые студии / ЦСИ Винзавод, г.Москва;', '', '\t “ART WHO DARK” (art.who.art) г.Москва;', '', '\t 2017', '', '\t “30 граней тебя” Артмоссфера / г.Нижний Новгород;', '', '\t Открытие галереи уличного искусства “Бекграунд” / г. Самара;', '', '\t 2016', '', '\t Фестиваль молодого современного искусства России “Форма” г. Москва;', '', '\t 2014', '', '\t Фестиваль монументальной живописи “Лучший город земли” г. Москва;', '', '\t Фестиваль монументальной живописи “ART SIDE” на территории фабрики “Красный октябрь” г.Москва;', '', '2013', '', 'Фестиваль “ART VRN” г.Воронеж;', '', '       2012 ', '', 'Фестиваль “Sretenka Design Week” г.Москва;', '                                ']",MIXAM  MAXIM,"['\n                                    Перформанс\r\n“Олицетворение музыки” в рамках программы Винзавод.Open / Открытые\r\nстудии, ЦСИ Винзавод, 2018г.                                ']",
2,"['\n', '\t2016', '\t«Только неофициальный язык», Центр современного искусства «Винзавод», Москва, Россия ', '\t2015 ', '\t«Скульптуры, которых мы не видим», Центральный выставочный зал «Манеж», Москва, Россия ', '\t2014 ', '\t«Ужасное в искусстве», Ground Gallery, Москва, Россия ', '\t2013 ', '\t«Разрез в искусстве», Фонд Михаила Шемякина, Санкт-Петербург, Россия', ' ']",Megasoma Mars,"['\n', '2016 ', 'Госпиталь имени Святого Маурисия, Московский музей современного искусства, Москва, Россия  ', '2015', '«The Loved Dead Ones and Their Martyrdom», Триумф, Москва\r\n\n']","Графика, живопись, объекты, видео, инсталляция"
3,"['\n', '\t 2016 ', '\t «VooDoo2», галерея «Свитер», Екатеринбург, Россия ', '\t 2015 ', '\t «VooDoo», галерея «Плюс», Пермь, Россия 2008 ', '\t «Rebel Art», Дворец творчества юных, Пермь, Россия', '\t 2014 ', '\t «Простые истины», галерея уличного искусства «Свитер», Екатеринбург, Россия', '\t «Canvas», Музей современного искусства «PERMM», Пермь, Россия', '\t «Транзитная Зона», Музей современного искусства «PERMM», Пермь, Россия ', '\t 2013 ', '\t «Mural Art», Пермский государственный университет, Пермь, Россия', ' ']",Moff Вячеслав,"['\n', ' 2015 ', ' «Floraincognito», галерея «Плюс», Пермь, Россия ', ' 2012 ', ' Персональная выставка, «Арт-Резиденция», Пермь, Россия\r\n ']",Граффити
4,"['\n                                    \t 2017 - ""Время путешествий"" - параллельная программа Московской Биеннале в галерее ""Культ Проект"" (совместно с Владимиром Мартыновым и Николаем Онищенко)', '\t 2016 - ""Искусство взаимодействия: Аудиовизуальная лаборатория"" центра ""MARS"" ', '\t - ""Walking Castle"" выставка с участием Андрея Бартенева, AES+F и тд. в частном особняке на Павелецкой ', '\t - современный балет ""Точки сингулярности"" в Культурном центре «ЗИЛ»', '\t 2015 - ""Mercedes-Benz Fashion Week"" - Выставочный зал ""Манеж""', '\t 2014 - выставка ""Glitch"" - галерея ""Культпроект"" (совместно с Василием Щетининым и Кириллом Александровым)', '\t - фестиваль ""Outline"" ', '\t - фестиваль ""Quadrans"" в Саду ""Эрмитаж""', '\t - выставка ""Medianovation"" на заводе “Кристалл“', '\t - выставка ""Russian Internet Week"" - “Экспоцентр“ ', '\t 2011 - фестиваль ""Faces&Laces"" в Арт центре “Ветошный“', '\t 2010 - выставка ""Skate restructuration"" в частном пространстве на Солянке ', '\t - фестиваль ""Faces&Laces""', '\t - фестиваль ""Digital act"" в рамках фестиваля ""Design act"" на Винзаводе ', '\t 2009 - фестиваль ""Faces&Laces"" ', '\t - выставка ""Стыковка""', '\t - выставка ""60 details"" ', '\t 2007 - выставка ""Стыковка"" в здании кинотеатра “35мм“', '\t 2003 - ""Архитектурный корабль"" в библиотеке им. Светлова', '\t 2002 - фестиваль ""Зодчество – 2002""', '\t 2001 - фестиваль ""Зодчество – 2001"" - Диплом II степени', '\t 2008 - фестиваль ""Faces&Laces""', '', '\t - ""Экран – твоему герою"" (конкурс детского анимационного искусства). Диплом. ', '\t 2000 - конкурс ""Славянский мир"" в Болгарском культурном центре г. Москвы. Диплом.', '\t 1999 - конкурс ЮНЕСКО ""Море и океаны"" - Загреб, Лиссабон (Хорватия, Португалия)', '\t - фестиваль ""СТАРТ- Начало творческого пути"" в ЦДХ.', '\t 1998 - ""Эволюция природы – эволюция культуры"" в- “Центральный Дом Архитектора”', '\t 1997 - ""Мир детства – 97"" - Диплом.', '                                ']",Rave Kirill,,
5,"['\n', '\t2017 ', '\t «30th Anniversary Exhibition», Part Deux, Jack Hanley Gallery, Нью-Йорк, США ', '\t 2016 ', '\t «Kollektsia! Contemporary Art in Russia 1950-2000», Centre Pompidou, Париж, Франция ', '\t «Thinking Pictures»: Moscow Conceptual Art in the Dodge Collection», Zimmerli Museum, Нью-Брансуик / Нью-Джерси, Канада/ США ', '\t «Journey Fever by Dutch Artists Since 1850», Frans Hals Museum/De Hallen, Харлем, Нидерланды ', '\t «Displacement», AKINCI Galerie, Амстердам, Нидерланды ', '\t 2015 ', '\t «InSight», Культурный фонд « Екатерина», Москва, Россия ', '\t 2014 ', '\t «High Horizon-Brueghel Land», Stedelijk Museum Wuyts -Van Campen and Baron Caroly, Лир, Бельгия ', '\t 2013 ', '\t «Russian Atelier on the Amstel», Hermitage Amsterdam, Амстердам, Нидерланды ', '\t «I Love Holland: Dutch Art after 1945», State Museum Stedelijk, Схидам, Нидерланды ', '\t «Monument Mondrian», Mondrian Houseс, Амерсфорт, Нидерланды ', '\t «Freestyle», Fundaci?n Cajamurcia, Мурсия, Испания ', '\t «Scope, Escape, Hide», Galer?a F?cares, Мадрид, Испания ', '\t «12+12: Wine and Dreams of Art», Van Abbe Museum, Эйндховен, Нидерланды ', '\t «IMAGES FOR IMAGES- Artists for Tichy - Tichy for Artists», GASK - Gallery of the Central Bohemian Region, Кутна-Гора, Чехия ', '\t «Cauchy Horizons», SCHUNCK* Heerlen, Херлен, Нидерланды ', '\t «ZigZag Dialogs», State Academy of Fine Arts & Design, Штутгарт, Германия ', '\t 2012 ', '\t «Large Drawings», David Nolan Gallery, Нью-Йорк, США ', '\t «Заложники пустоты», Государственная Третьяковская галерея, Москва, Россия ', '\t «From a Painter’s Perspective», Arti et Amicitiae, Амстердам, Нидерланды ', '\t «Cinema», Voorkamer, Лир, Бельгия ', '\t «33 Years Later, One Hour Before», Galer?a Leyendecker, Санта-Крус-де-Тенерифе, Испания ', '\t 2011 ', '\t «The Multiples Show #2», Vous Etes Ici, Амстердам, Нидерланды ', '\t «Barri? Foundation Collection of International Contemporary Paintings», La Fundaci?n Barri?, Ла-Корунья, Испания ', '\t «The Wind from the North: A Proposal by Peer Veneman», Galleria Ex-Macelleria, Понтремоли, Италия ', '\t «Temporary Stay», Kasteel D’Aspremont-Lynden, Oud-Rekem, Бельгия ', '\t «Field of Action, The Moscow Conceptualist School in Context 1970s-1980s, Calvert 22 Foundation», Лондон, Англия ', ""\t «VoTH», State Museum 's-Hertogenbosch, Хертогенбос, Нидерланды "", '\t «Things are Queer – Highlights from the UniCredit Collection», MARTa Herford, Херфорд, Германия ', '\t «Special Edition», PrintRoom, Роттердам, Нидерланды ', '\t «Exhibition at the Westzeedijk 114», Art Consultancy Tanya Rumpff, Роттердам, Нидерланды ', '\t «Rules of Engagement», Allan Nederpelt Gallery, Бруклин, США ', '\t 2010 ', '\t «ПОЛЕ ДЕЙСТВИЯ. МОСКОВСКАЯ КОНЦЕПТУАЛЬНАЯ ШКОЛА И ЕЁ КОНТЕКСТ. 70-Е – 80-Е ГОДЫ ХХ ВЕКА», фонд культуры « Екатерина», Москва, Россия ', '\t «PastPresentFuture – Highlights from the UniCredit Collection», Yapi Kredi Cultural Center, Стамбул, Турция ', '\t «Drawing Spaces», Laura Bulian Gallery, Милан, Италия ', '\t «Glasnost: Soviet Non-conformist Art from the 1980’s», Haunch of Venison, Лондон, Англия ', '\t «Van Dani?ls tot Dumas, van Schlieffert tot Schoonhoven», Centaal Museum Utrecht, Утрехт, Нидерланды ', '\t «VoTH», Московский музей современного искусства, Москва, Россия ', '\t «PastPresentFuture curated by Walter Guadagnini», Yapi Kredi Cultural Center, Стамбул, Турция ', '\t «The Cassini Cruise II», Ardi Poels Projects, Маастрихт, Нидерланды ', '\t «25 Jaar, Galerie Tanya Rumpff», Харлем, Нидерланды ', '\t 2009 ', '\t «Русское искусство 1989-2009», Московский музей современного искусства, Москва, Россия ', '\t «Коллекция и архив Вадима Захарова», Государственный центр современного искусства, Москва, Россия ', '\t «Being There», Galerie Akinci, Амстердам, Нидерланды ', '\t «Andrew Solomon Collection», Lotos Club, Нью-Йорк, США ', '\t «It’s Only a Paper Moon», Galleria Galica, Милан, Италия ', '\t «Stressed Spaces», State Museum‘s-Hertogenbosch, Хертогенбос, Нидерланды ', '\t «Voorbeeldig», Galerie Tanya Rumpff, Амстердам, Нидерланды ', '\t Summer Show, Galerie Akinci, Амстердам, Нидерланды ', '\t «Не игрушки», Государственная Третьяковская галерея, Москва, Россия ', '\t 2008 ', '\t «Im?genes Latentes», Galer?a F?cares, Мадри, Испания ', '\t «Гласность / Перестройка», Diehl+Gallery One, Москва, Россия ', '\t «Art Leaves Home: Otto L. Schaap», Content Art Consumer, State Museum Schiedam, Схидам, Нидерланды ', '\t 2007 ', '\t «Это не еда», Фонд «ЭРА», Москва, Россия ', '\t «OPEN e v + a: A Sense of Place», Limerick City Gallery of Art, Ирландия ', '\t 2006 ', '\t «Drawings from the Collection», Centraal Museum, Утрехт, Нидерланды ', '\t «Artists Against the State: Perestroika Revisited», The Feldman Gallery, Нью-Йорк, США ', '\t 2005 ', '\t «Diabolique: Images of the Devil in Contemporary Art», Walker’s Point Center for the Arts, Миннесота, США ', '\t «In Deep Water», Dinter Fine Arts, Нью-Йорк, США ', '\t 2004 ', '\t «Three Painters», Galerie Akinci, Амстердам, Нидерланды ', '\t 2003 ', '\t «Jede Fotografie ein Bild-Siemens Fotosammlung», Pinakothek der Moderne, Мюнхен, Германия ', '\t «De Laaste Aanwinst», Museum De Paviljoens, Алмере, Нидерланды ', '\t 2002 ', '\t «Extreme Existence», Pratt Institute, Нью-Йорк, США ', '\t 2001 ', '\t «Out of Bounds: Working Off Paper», Luckman Fine Arts Complex, Лос-Анджелес, США ', '\t 1999 ', '\t «The mind on scale», Arti et Amicitiae, Амстердам, Нидерланды ', '\t «Works on paper», Galerie Tanya Rumpff, Харлем, Нидерланды ', '\t 1998 ', '\t «Themen zur variation», ACP Galerie, Зальцбург, Австрия ', '\t «Frightful Paint», Arti et Amicitiae, Амстердам, Нидерланды ', '\t «Collectedness», Anders Tornberg Gallery, Лунд, Швеция ', '\t «Artist/Author: Contemporary Artists’ Books», Weatherspoon Art Gallery, Greensboro, North Carolina and University Gallery, Fine Arts Center, University of Massachussetts, Амхерст, США ', '\t «Self-Portrait», Galerie Tanya Rumpff, Харлем, Нидерланды ', '\t 1997 ', '\t «A House is not a Home», Rooseum, Мальмё, Швеция ', '\t «Art-Mix», Galerie Carla Stutzer, Кёльн, Германия ', '\t «Heaven-- Private View», P.S. 1, Нью-Йорк, США ', '\t «Mensen in De Collectie Almere», De Paviljoens, Алмере, Нидерланды ', '\t «Arbeiten auf Papier», Galerie Carla Stutzer, Кёльн, Германия ', '\t «One line drawing», UBU Gallery, Нью-Йорк, США ', '\t «Welcome Back to the Human Race», Peninsula, Эйндховен, Нидерланды ', '\t «Absent/Present», De Paviljoens, Алмере, Нидерланды ', '\t 1996 ', '\t «Piano II», Galerie Carla Stutzer, Кёльн, Германия ', '\t «Book as an object», Rohsska Museet, Гётеборг, Швеция ', '\t «I. Knoebel, A. McCollum, M. Mullican, B. Nauman, A. Roiter, L.Weiner, Brooke Alexander», Нью-Йорк, США ', '\t «One line drawing, Parade», Амстердам, Нидерланды ', '\t «100 Drawings2, Galerie d’Eendt, Амстердам, Нидерланды ', '\t «Drawings, with Glen Baxter & Hans Van de Ham», Multiple Galerie XX, Роттердам, Нидерланды ', '\t «Vous Etes Ici Seit 1990», Galerie Sophia Ungers, Кёльн, Германия ', '\t From Gulag to Glasnost: Nonconformst Art from the Soviet Union, Jane Voorhees Zimmerli Art Museum, Нью-Джерси, США ', '\t 1995 ', '\t «Genummerd + Gesigneerd», Museum Van Bommel Van Dam Venlo, Лимбург, Нидерланды ', '\t «W(how) Are You», Galerie Anhava, Хельсинки, Финляндия ', '\t «On Beauty», Regina Gallery, Москва, Россия ', '\t «The Cultured Tourist», The Center for Photography, Вудсток, США ', '\t «The Damaged Utopia», Kulturreferat der Landeshauptstadt, Мюнхен, Германия ', '\t «Comix», Brooke Alexander, Нью-Йорк, США ', '\t Blum & Poe, Лос-Анджелес, США ', '\t «Paper», Hohenthal und Bergen, Кёльн, Германия ', '\t «Naturkunden», Betberg Mental Asylum, Германия ', '\t «Tanya Rumpff», Харлем, Нидерланды ', '\t «Boxes II2, Gabriele Rivet Galerie, Кёльн, Германия ', '\t 1994 ', '\t Ozone layer hole, Пласи, Чехия ', '\t «Personal Heroes», Galerie De La Tour, Амстердам, Нидерланды ', '\t Galerie Carla Stutzer, Кёльн, Германия ', '\t «Site-Seeing», Bardamu, Нью-Йорк, США ', '\t «The Mouth of the Crocodile», TZ Art, Нью-Йорк, США ', '\t «Monumental Propaganda», traveling exhibition ', '\t «Don’t Look Now», Threadwaxing Space, Нью-Йорк, США ', '\t «Works on Paper», Galerie Rizzo, Париж,Франция ', '\t «Food», Anders Tornberg Gallery, Лунд, Швеция', ' ']",Roiter Andrei,"['\n', '2015 ', ' «Traveling Questions», Espacio Micus, Ивиса, Испания ', ' «Drawings & Objects», Galer?a Manuel Ojeda, Лас-Пальмас-де-Гран-Канария, Испания ', ' 2014 ', ' «Thank You», Galerie Akinci, Амстердам, Нидерланды ', ' «Inside Out», Laura Bulian Gallery, Милан, Италия ', ' 2013 ', ' «Открытый дом», Московский музей современного искусства, Москва, Россия ', ' «Multitude and Solitude», Galerie Gis?le Linder, Базель, Швейцария ', ' 2012 ', ' «I Am», Jack Hanley Gallery, Нью-Йорк, США ', ' «Studio Visit», Galerie Akinci, Амстердам, Нидерланды ', ' 2011 ', ' «My Profession is to be Andrei Roiter», Galeria F?cares, Мадрид, Испания ', ' «Runaway», Graphischen Kabinett Kunstmuseum Solothurn, Золотурн, Швейцария ', ' «Проверенный багаж», Regina Gallery, Москва, Россия ', ' 2010 ', ' «Bon Voyage», Городской музей, Схидам, Нидерланды ', ' «One», Городской музей, Хертогенбос , Нидерланды ', ' «Time Capsule», Laura Bulian Gallery, Milan, Italy (catalogue) ', ' «Memory Cards», Galerie Akinci, Амстердам, Нидерланды ', ' 2008 ', ' «Square of Life», Galerie Anhava, Хельсинки, Финляндия ', ' «Welcome Aboard», Stadsgalerij Heerlen, Херлен, Нидерланды ', ' «Dom», Laura Bartlett Gallery, Лондон, Англия ', ' 2007 ', ' «Suitcase Collection», Институт «Стрелка», Москва, Россия ', ' «Waiting Rooms», Galerie Akinci, Амстердам, Нидерланды ', ' 2005 ', ' «No People», Galerie Akinci, Амстердам, Нидерланды ', ' «Shacks and Flags», Galerie Anhava, Хельсинки, Финляндия ', ' 2004 ', ' «Inscapes», Kunstalle Recklinghausen, Рекклингхаузен, Германия ', ' «Untitled», (BKVB) Foundation for Visual Arts, Амстердам, Нидерланды ', ' 2002 ', ' «Artist At Work I», Galerie Axel Thieme, Дармштадт, Германия ', ' 2001 ', ' «Panorama», Galerie Anhava, Хельсинки, Финляндия ', ' «Kaleidoscope», Galerie Doris Wulkopf, Линдау, Германия ', ' «New Optimism», Silverstein Gallery, Нью-Йорк, США ', ' 2000 ', ' «Normal Magic», Aschenbach & Hofland Galleries, Амстердам, Нидерланды ', ' «New Works», Barbara von Stechow Gallery, Франкфурт, Германия ', ' 1999 ', ' «Paintings, Drawings», Galerie Anhava, Хельсинки, Финляндия ', ' «Paintings and Drawings», Galerie Tanya Rumpff, Харлем, Нидерланды ', ' 1998 ', ' «Models and Artifacts», ACP Galerie Peter Schuengel, Зальцбург, Австрия ', ' «Lights», Galerie Carla Stutzer, Кёльн, Германия ', ' 1997 ', ' «My American Diary», Aschenbach Galerie, Амстердам, Нидерланды ', ' «Potato Eaters», Galeria Leyendecker, Санта-Крус-де-Тенерифе, Испания ', ' «Road Test 2», Nordanstad Gallery, Нью-Йорк, США ', ' 1996 ', ' «Road Test», Blum & Poe, Лос-Анджелес, США ', ' «Friends», Lucio Amelio Gallery, Неаполь, Италия ', ' 1995 ', ' «Future Movie», Galerie Tanya Rumpff, Харлем, Нидерланды ', ' «Future», Galerie Carla Stutzer, Кёльн, Германия ', ' «Help Me Be You», Anders Tornberg Gallery, Лунд, Швеция ', ' «Ink Diver», Galerie Kaj Forsblom, Хельсинки, Финляндия ', ' «Library Dream», Brooke Alexander Project Room, Нью-Йорк, США ', ' «Potato Head», Weslyan University, Коннектикут, США ', ' 1994 ', ' «Drawings, etc, The Drawing Room», Jonker, Амстердам, Нидерланды ', ' «The Mouth of the Crocodile», TZ’Art & Co, Нью-Йорк, США ', ' 1993 ', ' «Underwater Adventures», Jack Hanley Gallery, Сан-Франциско, США ', ' «Bon Voyage», Elizabeth Koury, Нью-Йорк, США ', ' «Library Dreams», Susanne Ottesen, Копенгаген, Дания ', ' «Drawings», Gallery Ham, Нагоя, Япония ', ' «12 Chairs», Galerie Onrust, Амстердам, Нидерланды ', ' 1992 ', ' Van Esch Galerie, Эйндховен, Нидерланды ', ' Anders Tornberg, Лунд, Швеция ', ' Galerie Albrecht, Мюнхен, Германия ', ' Johan Jonker Gallery, Амстердам, Нидерланды ', ' Jack Hanley Gallery, Сан-Франциско, США ', ' Elizabeth Koury, Нью-Йорк, США ', ' Tanya Grunert, Кёльн, Германия ', ' 1991 ', ' Hans Knoll, Будапешт, Венгрия ', ' Forum Kunst, Ротвайль, Германия ', ' Isy Brachot, Брюссель, Бельгия ', ' Aschenbach Galerie (with Charlie Citron), Амстердам, Нидерланды ', ' 1990 ', ' Galerie Albrecht, Мюнхен, Германия ', ' Kunsthalle Basel, Базель, Швейцария ', ' Aschenbach Galerie, Амстердам, Нидерланды\r\n ']","Живопись, графика, смешанная техника"
6,"['\n', '\t2016 ', '\t «Новый Город: Древний», Фестиваль Уличного Искусства, Нижний Новгород, Россия ', '\t 2015 ', '\t «Вспомни завтра», Музей Уличного Искусства, Санкт-Петербург, Россия ', '\t «Обещание пейзажа», Музей современного искусства PERMM, Пермь, Россия', '\n']",Street Udmurt,,
7,"['\n', '\t 2012 ', '\t Фестиваль «Белые Ночи в Перми», выставка «Культурного Альянса», Пермь, Россия ', '\t Выставка номинантов премии Кандинского, «Ударник», Москва, Россия ', '\t 2010-2011 ', '\t «Дружба», галерея «Сто своих», Санкт-Петербург, Россия ', '\t 2010 ', '\t «Локация», завод «ЗИП», Краснодар, Россия', ' ']",ZIP,"['\n', ' 2012 ', ' «Открытий больше не будет», КИСИ, Краснодар, Россия ', ' «Этот Цех борется за звание образцового», КИСИ, Краснодар', ' «Этот Цех борется за звание образцового», галерея «XL», Москва, Россия ', ' 2011 ', ' Перформанс «Плот», Краснодар, Россия ', ' «Лаборатория», выставочный центр «ПRОЕКТ_FАБRИКА», Москва, Россия ', ' 2010 ', ' «ООО «Сувенир», галерея «Жир», Москва, Россия ', ' «Другой», галерея «Непокоренные 17», Санкт-Петербург, Россия ', ' 2009 ', ' «Живой уголок», завод «ЗИП», Краснодар, Россия ', ' «ЗИП в галерее Майи Рязановой», галерея Майи Рязановой, Краснодар, Россия\r\n ']","Объекты, инсталляции, акции"
